D:\Development\SelfDrivingCar\Data\IMG\center_2019_08_27_12_14_27_447.jpg, D:\Development\SelfDrivingCar\Data\IMG\left_2019_08_27_12_14_27_447.jpg, D:\Development\SelfDrivingCar\Data\IMG\right_2019_08_27_12_14_27_447.jpg, 0, 0, 0, 7.952811E-05
D:\Development\SelfDrivingCar\Data\IMG\center_2019_08_27_12_14_27_552.jpg, D:\Development\SelfDrivingCar\Data\IMG\left_2019_08_27_12_14_27_552.jpg, D:\Development\SelfDrivingCar\Data\IMG\right_2019_08_27_12_14_27_552.jpg, 0, 0, 0, 7.797272E-05
D:\Development\SelfDrivingCar\Data\IMG\center_2019_08_27_12_14_27_653.jpg, D:\Development\SelfDrivingCar\Data\IMG\left_2019_08_27_12_14_27_653.jpg, D:\Development\SelfDrivingCar\Data\IMG\right_2019_08_27_12_14_27_653.jpg, 0, 0, 0, 7.793913E-05
D:\Development\SelfDrivingCar\Data\IMG\center_2019_08_27_12_14_27_756.jpg, D:\Development\SelfDrivingCar\Data\IMG\left_2019_08_27_12_14_27_756.jpg, D:\Development\SelfDrivingCar\Data\IMG\right_2019_08_27_12_14_27_756.jpg, 0, 0, 0, 7.78545E-05
D:\Development\SelfDrivingCar\Data\IMG\center_2019_08_27_12_14_27_856.jpg, D:\Development\SelfDrivingCar\Data\IMG\left_2019_08_27_12_14_27_856.jpg, D:\Development\SelfDrivingCar\Data\IMG\right_2019_08_27_12_14_27_856.jpg, 0, 0, 0, 7.803631E-05
D:\Development\SelfDrivingCar\Data\IMG\center_2019_08_27_12_14_27_957.jpg, D:\Development\SelfDrivingCar\Data\IMG\left_2019_08_27_12_14_27_957.jpg, D:\Development\SelfDrivingCar\Data\IMG\right_2019_08_27_12_14_27_957.jpg, 0, 0, 0, 7.969631E-05
D:\Development\SelfDrivingCar\Data\IMG\center_2019_08_27_12_14_28_059.jpg, D:\Development\SelfDrivingCar\Data\IMG\left_2019_08_27_12_14_28_059.jpg, D:\Development\SelfDrivingCar\Data\IMG\right_2019_08_27_12_14_28_059.jpg, 0, 0, 0, 7.897904E-05
D:\Development\SelfDrivingCar\Data\IMG\center_2019_08_27_12_14_28_162.jpg, D:\Development\SelfDrivingCar\Data\IMG\left_2019_08_27_12_14_28_162.jpg, D:\Development\SelfDrivingCar\Data\IMG\right_2019_08_27_12_14_28_162.jpg, 0, 0, 0, 7.837229E-05
D:\Development\SelfDrivingCar\Data\IMG\center_2019_08_27_12_14_28_264.jpg, D:\Development\SelfDrivingCar\Data\IMG\left_2019_08_27_12_14_28_264.jpg, D:\Development\SelfDrivingCar\Data\IMG\right_2019_08_27_12_14_28_264.jpg, 0, 0, 0, 7.873009E-05
D:\Development\SelfDrivingCar\Data\IMG\center_2019_08_27_12_14_28_368.jpg, D:\Development\SelfDrivingCar\Data\IMG\left_2019_08_27_12_14_28_368.jpg, D:\Development\SelfDrivingCar\Data\IMG\right_2019_08_27_12_14_28_368.jpg, 0, 0, 0, 7.861487E-05
D:\Development\SelfDrivingCar\Data\IMG\center_2019_08_27_12_14_28_471.jpg, D:\Development\SelfDrivingCar\Data\IMG\left_2019_08_27_12_14_28_471.jpg, D:\Development\SelfDrivingCar\Data\IMG\right_2019_08_27_12_14_28_471.jpg, 0, 0, 0, 7.810981E-05
D:\Development\SelfDrivingCar\Data\IMG\center_2019_08_27_12_14_28_575.jpg, D:\Development\SelfDrivingCar\Data\IMG\left_2019_08_27_12_14_28_575.jpg, D:\Development\SelfDrivingCar\Data\IMG\right_2019_08_27_12_14_28_575.jpg, 0, 0, 0, 7.77646E-05
D:\Development\SelfDrivingCar\Data\IMG\center_2019_08_27_12_14_28_680.jpg, D:\Development\SelfDrivingCar\Data\IMG\left_2019_08_27_12_14_28_680.jpg, D:\Development\SelfDrivingCar\Data\IMG\right_2019_08_27_12_14_28_680.jpg, 0, 0, 0, 8.133538E-05
D:\Development\SelfDrivingCar\Data\IMG\center_2019_08_27_12_14_28_785.jpg, D:\Development\SelfDrivingCar\Data\IMG\left_2019_08_27_12_14_28_785.jpg, D:\Development\SelfDrivingCar\Data\IMG\right_2019_08_27_12_14_28_785.jpg, 0, 0, 0, 7.883459E-05
D:\Development\SelfDrivingCar\Data\IMG\center_2019_08_27_12_14_28_889.jpg, D:\Development\SelfDrivingCar\Data\IMG\left_2019_08_27_12_14_28_889.jpg, D:\Development\SelfDrivingCar\Data\IMG\right_2019_08_27_12_14_28_889.jpg, 0, 0, 0, 7.815531E-05
